,road_code,road_name,serial_number,si_do
80683,301101000000.0,경부고속도로,0,대전광역시
80684,301101000000.0,통영대전고속도로,0,대전광역시
80685,301101000000.0,통영대전고속도로,1,대전광역시
80686,301101000000.0,통영대전고속도로,2,대전광역시
80687,301101000000.0,중부고속도로,0,대전광역시
80688,301101000000.0,대전남부순환고속도로,0,대전광역시
80689,301101000000.0,대진고속도로,0,대전광역시
80690,301102000000.0,동서대로,0,대전광역시
80691,301102000000.0,동서대로,1,대전광역시
80692,301102000000.0,동서대로,2,대전광역시
80693,301102000000.0,동서대로,3,대전광역시
80694,301102000000.0,동서대로,4,대전광역시
80695,301102000000.0,동서대로,5,대전광역시
80696,301102000000.0,한밭대로,0,대전광역시
80697,301102000000.0,한밭대로,1,대전광역시
80698,301102000000.0,한밭대로,2,대전광역시
80699,301103000000.0,곤룡로,0,대전광역시
80700,301103000000.0,곤룡로,1,대전광역시
80701,301103000000.0,금산로,0,대전광역시
80702,301103000000.0,금산로,1,대전광역시
80703,301103000000.0,금산로,2,대전광역시
80704,301103000000.0,산내로,0,대전광역시
80705,301103000000.0,산내로,1,대전광역시
80706,301103000000.0,산내로,2,대전광역시
80707,301103000000.0,산내로,3,대전광역시
80708,301103000000.0,산내로,4,대전광역시
80709,301103000000.0,산내로,5,대전광역시
80710,301103000000.0,산내로,6,대전광역시
80711,301103000000.0,신상로,0,대전광역시
80712,301103000000.0,신상로,1,대전광역시
80713,301103000000.0,신상로,2,대전광역시
80714,301103000000.0,옥천로,0,대전광역시
80715,301103000000.0,옥천로,1,대전광역시
80716,301103000000.0,옥천로,2,대전광역시
80717,301103000000.0,옥천로,3,대전광역시
80718,301103000000.0,옥천로,4,대전광역시
80719,301103000000.0,옥천로,5,대전광역시
80720,301103000000.0,옥천로,6,대전광역시
80721,301103000000.0,회남로,0,대전광역시
80722,301103000000.0,회남로,1,대전광역시
80723,301103000000.0,회남로,2,대전광역시
80724,301103000000.0,회남로,3,대전광역시
80725,301103000000.0,회남로,4,대전광역시
80726,301103000000.0,회남로,5,대전광역시
80727,301103000000.0,회남로,6,대전광역시
80728,301103000000.0,회남로,7,대전광역시
80729,301103000000.0,계족로,0,대전광역시
80730,301103000000.0,계족로,1,대전광역시
80731,301103000000.0,계족로,2,대전광역시
80732,301103000000.0,계족로,3,대전광역시
80733,301103000000.0,계족로,4,대전광역시
80734,301103000000.0,계족로,5,대전광역시
80735,301103000000.0,계족로,6,대전광역시
80736,301103000000.0,계족로,7,대전광역시
80737,301103000000.0,계족로,8,대전광역시
80738,301103000000.0,계족로,9,대전광역시
80739,301103000000.0,계족로,10,대전광역시
80740,301103000000.0,계족로,11,대전광역시
80741,301103000000.0,계족로,12,대전광역시
80742,301103000000.0,대전로,0,대전광역시
80743,301103000000.0,대전로,1,대전광역시
80744,301103000000.0,대전로,2,대전광역시
80745,301103000000.0,대전로,3,대전광역시
80746,301103000000.0,대전로,4,대전광역시
80747,301103000000.0,대전로,5,대전광역시
80748,301103000000.0,대전로,6,대전광역시
80749,301103000000.0,대전로,7,대전광역시
80750,301103000000.0,대전로,8,대전광역시
80751,301103000000.0,대전로,9,대전광역시
80752,301103000000.0,대전로,10,대전광역시
80753,301103000000.0,대전로,11,대전광역시
80754,301103000000.0,대전로,12,대전광역시
80755,301103000000.0,대전로,13,대전광역시
80756,301103000000.0,대전로,14,대전광역시
80757,301103000000.0,대전천북로,0,대전광역시
80758,301103000000.0,대전천북로,1,대전광역시
80759,301103000000.0,대종로,0,대전광역시
80760,301103000000.0,대종로,1,대전광역시
80761,301103000000.0,대청호수로,0,대전광역시
80762,301103000000.0,대청호수로,2,대전광역시
80763,301103000000.0,대청호수로,3,대전광역시
80764,301103000000.0,대청호수로,4,대전광역시
80765,301103000000.0,대청호수로,5,대전광역시
80766,301103000000.0,대청호수로,6,대전광역시
80767,301103000000.0,대흥로,0,대전광역시
80768,301103000000.0,대흥로,1,대전광역시
80769,301103000000.0,대흥로,2,대전광역시
80770,301103000000.0,동부로,0,대전광역시
80771,301103000000.0,동부로,1,대전광역시
80772,301103000000.0,동부로,2,대전광역시
80773,301103000000.0,동산초교로,0,대전광역시
80774,301103000000.0,동산초교로,1,대전광역시
80775,301103000000.0,모암로,0,대전광역시
80776,301103000000.0,모암로,1,대전광역시
80777,301103000000.0,산서로,0,대전광역시
80778,301103000000.0,산서로,1,대전광역시
80779,301103000000.0,산서로,2,대전광역시
80780,301103000000.0,산서로,3,대전광역시
80781,301103000000.0,선화로,0,대전광역시
80782,301103000000.0,선화로,1,대전광역시
80783,301103000000.0,선화로,2,대전광역시
80784,301103000000.0,선화로,3,대전광역시
80785,301103000000.0,신기로,0,대전광역시
80786,301103000000.0,신기로,1,대전광역시
80787,301103000000.0,신기로,2,대전광역시
80788,301103000000.0,옛신탄진로,0,대전광역시
80789,301103000000.0,옛신탄진로,1,대전광역시
80790,301103000000.0,옛신탄진로,2,대전광역시
80791,301103000000.0,옛신탄진로,3,대전광역시
80792,301103000000.0,우암로,0,대전광역시
80793,301103000000.0,우암로,1,대전광역시
80794,301103000000.0,우암로,2,대전광역시
80795,301103000000.0,우암로,3,대전광역시
80796,301103000000.0,은어송로,0,대전광역시
80797,301103000000.0,은어송로,1,대전광역시
80798,301103000000.0,인창로,0,대전광역시
80799,301103000000.0,인창로,1,대전광역시
80800,301103000000.0,중교로,0,대전광역시
80801,301103000000.0,중교로,1,대전광역시
80802,301103000000.0,충무로,0,대전광역시
80803,301103000000.0,충무로,1,대전광역시
80804,301103000000.0,충무로,2,대전광역시
80805,301103000000.0,학고개로,0,대전광역시
80806,301103000000.0,학고개로,1,대전광역시
80807,301103000000.0,한남로,0,대전광역시
80808,301103000000.0,한남로,1,대전광역시
80809,301103000000.0,홍도로,0,대전광역시
80810,301103000000.0,홍도로,1,대전광역시
80811,301103000000.0,홍도로,2,대전광역시
80812,301103000000.0,가양남로,0,대전광역시
80813,301103000000.0,가양남로,1,대전광역시
80814,301103000000.0,가양로,0,대전광역시
80815,301103000000.0,가양로,1,대전광역시
80816,301103000000.0,냉천로,0,대전광역시
80817,301103000000.0,냉천로,1,대전광역시
80818,301103000000.0,냉천로,2,대전광역시
80819,301103000000.0,냉천로,3,대전광역시
80820,301103000000.0,대동로,0,대전광역시
80821,301103000000.0,대동로,1,대전광역시
80822,301103000000.0,대동로,2,대전광역시
80823,301103000000.0,대별로,0,대전광역시
80824,301103000000.0,대별로,1,대전광역시
80825,301103000000.0,대전천동로,0,대전광역시
80826,301103000000.0,대전천동로,1,대전광역시
80827,301103000000.0,대전천동로,2,대전광역시
80828,301103000000.0,대전천동로,3,대전광역시
80829,301103000000.0,대전천동로,4,대전광역시
80830,301103000000.0,대전천동로,5,대전광역시
80831,301103000000.0,대전천동로,6,대전광역시
80832,301103000000.0,대전천동로,7,대전광역시
80833,301103000000.0,대전천동로,8,대전광역시
80834,301103000000.0,대학로,0,대전광역시
80835,301103000000.0,대학로,1,대전광역시
80836,301103000000.0,동구청로,0,대전광역시
80837,301103000000.0,동구청로,1,대전광역시
80838,301103000000.0,동구청로,2,대전광역시
80839,301103000000.0,동구청로,3,대전광역시
80840,301103000000.0,동대전로,0,대전광역시
80841,301103000000.0,동대전로,1,대전광역시
80842,301103000000.0,동대전로,2,대전광역시
80843,301103000000.0,동대전로,3,대전광역시
80844,301103000000.0,동대전로,4,대전광역시
80845,301103000000.0,동대전로,5,대전광역시
80846,301103000000.0,동중앙로,0,대전광역시
80847,301103000000.0,동중앙로,1,대전광역시
80848,301103000000.0,동중앙로,2,대전광역시
80849,301103000000.0,동중앙로,3,대전광역시
80850,301103000000.0,매봉로,0,대전광역시
80851,301103000000.0,매봉로,1,대전광역시
80852,301103000000.0,백룡로,0,대전광역시
80853,301103000000.0,백룡로,1,대전광역시
80854,301103000000.0,백룡로,2,대전광역시
80855,301103000000.0,비래서로,0,대전광역시
80856,301103000000.0,비래서로,1,대전광역시
80857,301103000000.0,비룡로,0,대전광역시
80858,301103000000.0,비룡로,1,대전광역시
80859,301103000000.0,삼정로,0,대전광역시
80860,301103000000.0,삼정로,1,대전광역시
80861,301103000000.0,삼정로,2,대전광역시
80862,301103000000.0,새울로,0,대전광역시
80863,301103000000.0,새울로,1,대전광역시
80864,301103000000.0,새울로,2,대전광역시
80865,301103000000.0,성남로,0,대전광역시
80866,301103000000.0,성남로,1,대전광역시
80867,301103000000.0,성남로,2,대전광역시
80868,301103000000.0,성동로,0,대전광역시
80869,301103000000.0,성동로,1,대전광역시
80870,301103000000.0,세천공원로,0,대전광역시
80871,301103000000.0,세천공원로,1,대전광역시
80872,301103000000.0,세천공원로,2,대전광역시
80873,301103000000.0,세천로,0,대전광역시
80874,301103000000.0,세천로,1,대전광역시
80875,301103000000.0,송촌남로,0,대전광역시
80876,301103000000.0,송촌남로,1,대전광역시
80877,301103000000.0,송촌남로,2,대전광역시
80878,301103000000.0,용운로,0,대전광역시
80879,301103000000.0,용운로,1,대전광역시
80880,301103000000.0,용운로,2,대전광역시
80881,301103000000.0,이사로,0,대전광역시
80882,301103000000.0,이사로,1,대전광역시
80883,301103000000.0,이사로,2,대전광역시
80884,301103000000.0,이화로,0,대전광역시
80885,301103000000.0,이화로,1,대전광역시
80886,301103000000.0,이화로,2,대전광역시
80887,301103000000.0,천개동로,0,대전광역시
80888,301103000000.0,천개동로,1,대전광역시
80889,301103000000.0,천개동로,2,대전광역시
80890,301103000000.0,충정로,0,대전광역시
80891,301103000000.0,충정로,1,대전광역시
80892,301103000000.0,충정로,2,대전광역시
80893,301103000000.0,태전로,0,대전광역시
80894,301103000000.0,태전로,1,대전광역시
80895,301103000000.0,태전로,2,대전광역시
80896,301103000000.0,태전로,3,대전광역시
80897,301103000000.0,판암로,0,대전광역시
80898,301103000000.0,판암로,1,대전광역시
80899,301103000000.0,합내로,0,대전광역시
80900,301103000000.0,합내로,1,대전광역시
80901,301103000000.0,현암로,0,대전광역시
80902,301103000000.0,현암로,1,대전광역시
80903,301103000000.0,흥룡로,0,대전광역시
80904,301103000000.0,흥룡로,1,대전광역시
80905,301103000000.0,보문로,0,대전광역시
80906,301103000000.0,보문로,1,대전광역시
80907,301103000000.0,중앙로,0,대전광역시
80908,301103000000.0,중앙로,1,대전광역시
80909,301103000000.0,중앙로,2,대전광역시
80910,301103000000.0,중앙로,3,대전광역시
80911,301103000000.0,중앙로,4,대전광역시
80912,301103000000.0,석천로,0,대전광역시
80913,301103000000.0,석천로,1,대전광역시
80914,301103000000.0,석천로,2,대전광역시
80915,301103000000.0,물류로,0,대전광역시
80916,301103000000.0,물류로,1,대전광역시
80917,301103000000.0,안골로,0,대전광역시
80918,301103000000.0,안골로,1,대전광역시
80919,301103000000.0,하소로,0,대전광역시
80920,301103000000.0,하소로,1,대전광역시
80921,301103000000.0,하소중로,0,대전광역시
80922,301103000000.0,하소중로,1,대전광역시
80923,301103000000.0,하소남로,0,대전광역시
80924,301103000000.0,하소남로,1,대전광역시
80925,301103000000.0,신인로,0,대전광역시
80926,301103000000.0,삼가로,0,대전광역시
80927,301103000000.0,동광장로,0,대전광역시
80928,301103000000.0,동광장로,1,대전광역시
80929,301103000000.0,동광장로,2,대전광역시
80930,301104000000.0,가양남로13번길,0,대전광역시
80931,301104000000.0,가양남로13번길,1,대전광역시
80932,301104000000.0,가양남로23번길,0,대전광역시
80933,301104000000.0,가양남로23번길,1,대전광역시
80934,301104000000.0,가양남로27번길,0,대전광역시
80935,301104000000.0,가양남로27번길,1,대전광역시
80936,301104000000.0,가양남로33번길,0,대전광역시
80937,301104000000.0,가양남로33번길,1,대전광역시
80938,301104000000.0,가양로110번길,0,대전광역시
80939,301104000000.0,가양로110번길,1,대전광역시
80940,301104000000.0,가양로123번길,0,대전광역시
80941,301104000000.0,가양로123번길,1,대전광역시
80942,301104000000.0,가양로123번길,2,대전광역시
80943,301104000000.0,가양로132번길,0,대전광역시
80944,301104000000.0,가양로132번길,1,대전광역시
80945,301104000000.0,가양로56번길,0,대전광역시
80946,301104000000.0,가양로56번길,1,대전광역시
80947,301104000000.0,가양로62번길,0,대전광역시
80948,301104000000.0,가양로62번길,1,대전광역시
80949,301104000000.0,가양로68번길,0,대전광역시
80950,301104000000.0,가양로68번길,1,대전광역시
80951,301104000000.0,가양로80번길,0,대전광역시
80952,301104000000.0,가양로80번길,1,대전광역시
80953,301104000000.0,갱이1길,0,대전광역시
80954,301104000000.0,갱이1길,1,대전광역시
80955,301104000000.0,갱이2길,0,대전광역시
80956,301104000000.0,갱이2길,1,대전광역시
80957,301104000000.0,갱이3길,0,대전광역시
80958,301104000000.0,갱이3길,1,대전광역시
80959,301104000000.0,갱이4길,0,대전광역시
80960,301104000000.0,갱이4길,1,대전광역시
80961,301104000000.0,갱이5길,0,대전광역시
80962,301104000000.0,갱이5길,1,대전광역시
80963,301104000000.0,갱이6길,0,대전광역시
80964,301104000000.0,갱이6길,1,대전광역시
80965,301104000000.0,갱이7길,0,대전광역시
80966,301104000000.0,갱이7길,1,대전광역시
80967,301104000000.0,갱이길,0,대전광역시
80968,301104000000.0,갱이길,1,대전광역시
80969,301104000000.0,계족로140번길,0,대전광역시
80970,301104000000.0,계족로140번길,1,대전광역시
80971,301104000000.0,계족로140번길,2,대전광역시
80972,301104000000.0,계족로328번길,0,대전광역시
