Column1,road_code,road_name,serial_number,si_do
80683,3.01101E+11,경부고속도로,0,대전광역시
80684,3.01101E+11,통영대전고속도로,0,대전광역시
80685,3.01101E+11,통영대전고속도로,1,대전광역시
80686,3.01101E+11,통영대전고속도로,2,대전광역시
80687,3.01101E+11,중부고속도로,0,대전광역시
80688,3.01101E+11,대전남부순환고속도로,0,대전광역시
80689,3.01101E+11,대진고속도로,0,대전광역시
80690,3.01102E+11,동서대로,0,대전광역시
80691,3.01102E+11,동서대로,1,대전광역시
80692,3.01102E+11,동서대로,2,대전광역시
80693,3.01102E+11,동서대로,3,대전광역시
80694,3.01102E+11,동서대로,4,대전광역시
80695,3.01102E+11,동서대로,5,대전광역시
80696,3.01102E+11,한밭대로,0,대전광역시
80697,3.01102E+11,한밭대로,1,대전광역시
80698,3.01102E+11,한밭대로,2,대전광역시
80699,3.01103E+11,곤룡로,0,대전광역시
80700,3.01103E+11,곤룡로,1,대전광역시
80701,3.01103E+11,금산로,0,대전광역시
80702,3.01103E+11,금산로,1,대전광역시
80703,3.01103E+11,금산로,2,대전광역시
80704,3.01103E+11,산내로,0,대전광역시
80705,3.01103E+11,산내로,1,대전광역시
80706,3.01103E+11,산내로,2,대전광역시
80707,3.01103E+11,산내로,3,대전광역시
80708,3.01103E+11,산내로,4,대전광역시
80709,3.01103E+11,산내로,5,대전광역시
80710,3.01103E+11,산내로,6,대전광역시
80711,3.01103E+11,신상로,0,대전광역시
80712,3.01103E+11,신상로,1,대전광역시
80713,3.01103E+11,신상로,2,대전광역시
80714,3.01103E+11,옥천로,0,대전광역시
80715,3.01103E+11,옥천로,1,대전광역시
80716,3.01103E+11,옥천로,2,대전광역시
80717,3.01103E+11,옥천로,3,대전광역시
80718,3.01103E+11,옥천로,4,대전광역시
80719,3.01103E+11,옥천로,5,대전광역시
80720,3.01103E+11,옥천로,6,대전광역시
80721,3.01103E+11,회남로,0,대전광역시
80722,3.01103E+11,회남로,1,대전광역시
80723,3.01103E+11,회남로,2,대전광역시
80724,3.01103E+11,회남로,3,대전광역시
80725,3.01103E+11,회남로,4,대전광역시
80726,3.01103E+11,회남로,5,대전광역시
80727,3.01103E+11,회남로,6,대전광역시
80728,3.01103E+11,회남로,7,대전광역시
80729,3.01103E+11,계족로,0,대전광역시
80730,3.01103E+11,계족로,1,대전광역시
80731,3.01103E+11,계족로,2,대전광역시
80732,3.01103E+11,계족로,3,대전광역시
80733,3.01103E+11,계족로,4,대전광역시
80734,3.01103E+11,계족로,5,대전광역시
80735,3.01103E+11,계족로,6,대전광역시
80736,3.01103E+11,계족로,7,대전광역시
80737,3.01103E+11,계족로,8,대전광역시
80738,3.01103E+11,계족로,9,대전광역시
80739,3.01103E+11,계족로,10,대전광역시
80740,3.01103E+11,계족로,11,대전광역시
80741,3.01103E+11,계족로,12,대전광역시
80742,3.01103E+11,대전로,0,대전광역시
80743,3.01103E+11,대전로,1,대전광역시
80744,3.01103E+11,대전로,2,대전광역시
80745,3.01103E+11,대전로,3,대전광역시
80746,3.01103E+11,대전로,4,대전광역시
80747,3.01103E+11,대전로,5,대전광역시
