Column1|num|si_do|si_gun_gu|name|address|phone
169|170|대전|대덕구|대덕구보건소| 대전광역시 대덕구 석봉로 38길 55|042-608-5436~40
170|171|대전|대덕구|대전보훈병원|대전광역시 대덕구 대청로82번길 147 (신탄진동,147)|042-939-0118, 0100
171|172|대전|대덕구|근로복지공단 대전병원|대덕구 계족로 637|(주)042-670-5406,(야)042-670-5119
172|173|대전|동구|동구보건소|대전광역시 동구 동구청로147(가오동)|042-251-6305
173|174|대전|동구|대전한국병원|대전광역시 동구 동서대로 1672 |042-606-1500
174|175|대전|서구|서구보건소| 대전광역시 서구 만년로74|042-288-4500
175|176|대전|서구|건양대학교병원|대전광역시 서구 관저동로 158 (관저동,(관저동))|042-600-9999
176|177|대전|서구|을지대학교병원|대전광역시 서구 둔산서로 95 (둔산동,(둔산동))|042-259-1060
177|178|대전|유성구|유성구보건소|대전광역시 유성구 유성대로730번길51|042-611-5047
178|179|대전|유성구|유성선병원|대전광역시 유성구 북유성대로 93 (지족동,(지족동))|042-609-1000
179|180|대전|중구|중구보건소|대전광역시 중구 산성로 63|042-288-8043
180|181|대전|중구|대전선병원|대전광역시 중구 목중로 29 (목동,(목동))|042-220-8114
181|182|대전|중구|대전성모병원|대전광역시 중구 대흥로 64 (대흥동,(대흥동))|042-220-9114
